OAREA,DAREA,F
吴江区,普陀区,3.3579556809648465e-12
常熟市,普陀区,5.7439270199555485e-12
张家港市,普陀区,2.316545207420661e-12
昆山市,普陀区,3.255845798219385e-11
太仓市,普陀区,2.622285318636694e-11
崇川区,普陀区,9.069168252880418e-12
港闸区,普陀区,7.418145576491345e-13
通州区,普陀区,2.3826724162579693e-12
如东县,普陀区,1.8413746693483698e-12
启东市,普陀区,1.3098197085029908e-11
如皋市,普陀区,2.343395090071969e-12
海门市,普陀区,5.637936933652905e-12
海安市,普陀区,3.504431045576063e-12
广陵区,普陀区,2.977932471344735e-13
邗江区,普陀区,3.585856545218029e-13
江都区,普陀区,5.82110540645696e-13
宝应县,普陀区,2.108208728224161e-12
仪征市,普陀区,3.6768676396128854e-13
高邮市,普陀区,1.2623347834838478e-12
京口区,普陀区,3.648062981744675e-13
润州区,普陀区,4.411539053413537e-12
丹徒区,普陀区,2.4300138651570744e-12
丹阳市,普陀区,2.091267415957333e-12
扬中市,普陀区,6.638375054938674e-13
句容市,普陀区,2.972544582559948e-12
海陵区,普陀区,7.49372288081458e-13
高港区,普陀区,7.612090257632326e-13
姜堰区,普陀区,8.346342716906109e-13
兴化市,普陀区,1.849515482538375e-12
靖江市,普陀区,1.767711935398209e-12
泰兴市,普陀区,1.5920682847849942e-12
黄浦区,虹口区,1.3999564790993048e-10
徐汇区,虹口区,5.858292501764907e-11
长宁区,虹口区,5.5651878846569495e-11
静安区,虹口区,3.849333208915009e-10
普陀区,虹口区,8.820040897908489e-11
杨浦区,虹口区,8.111566867835232e-10
闵行区,虹口区,3.7221818853204126e-11
宝山区,虹口区,2.0396404997217048e-10
嘉定区,虹口区,3.945683908132092e-11
浦东新区,虹口区,1.3690653270150942e-10
金山区,虹口区,1.1263236963317326e-11
松江区,虹口区,2.987619362219213e-11
青浦区,虹口区,2.302400745743461e-11
奉贤区,虹口区,1.6920247744436235e-11
崇明区,虹口区,8.793312047230999e-11
玄武区,虹口区,4.977572738549915e-13
秦淮区,虹口区,1.657439518923534e-13
建邺区,虹口区,6.079994793346829e-14
鼓楼区,虹口区,6.028819083588961e-13
浦口区,虹口区,3.828459954572158e-13
栖霞区,虹口区,2.66724678901929e-13
雨花台区,虹口区,6.552627890326548e-13
江宁区,虹口区,2.603477642337919e-13
溧水区,虹口区,1.2194967982874825e-13
高淳区,虹口区,2.76445780962514e-13
锡山区,虹口区,7.042917242771474e-13
惠山区,虹口区,8.970132277512342e-13
滨湖区,虹口区,4.5323552784581845e-13
梁溪区,虹口区,1.0456273963601704e-12
新吴区,虹口区,1.307725590183614e-12
江阴市,虹口区,5.642664325240428e-13
宜兴市,虹口区,9.009278032676318e-13
天宁区,虹口区,5.476422287481492e-13
钟楼区,虹口区,3.6521355514370853e-13
新北区,虹口区,4.712516816884176e-13
武进区,虹口区,3.505455337765326e-13
金坛区,虹口区,2.9785253498410345e-13
溧阳市,虹口区,6.12319651017105e-13
虎丘区,虹口区,5.763736931248308e-13
吴中区,虹口区,8.395125604103482e-13
相城区,虹口区,7.988987844611834e-13
姑苏区,虹口区,2.1856986129799104e-12
吴江区,虹口区,1.3317672396774022e-12
常熟市,虹口区,2.3039791696921488e-12
张家港市,虹口区,9.359197241416831e-13
昆山市,虹口区,1.2608986015578259e-11
太仓市,虹口区,1.136809619374436e-11
崇川区,虹口区,2.952816620778241e-12
港闸区,虹口区,1.4092685104772937e-13
通州区,虹口区,1.093904691760562e-12
如东县,虹口区,9.104204321432286e-13
启东市,虹口区,2.776599570201604e-11
如皋市,虹口区,1.0569971952388797e-12
海门市,虹口区,3.5457858398143112e-12
海安市,虹口区,6.774372182922113e-13
广陵区,虹口区,1.8229247013688445e-13
邗江区,虹口区,1.4111112998385044e-13
江都区,虹口区,4.4541963832336124e-13
宝应县,虹口区,4.554805333963171e-13
高邮市,虹口区,1.7171803893044845e-13
京口区,虹口区,9.570605760246995e-14
润州区,虹口区,9.654633551193398e-13
丹徒区,虹口区,4.250055405975094e-13
丹阳市,虹口区,7.20088677244973e-13
句容市,虹口区,7.089454034000448e-13
海陵区,虹口区,1.7950071660803986e-13
高港区,虹口区,1.9970136270063681e-13
姜堰区,虹口区,1.7030556659855606e-13
兴化市,虹口区,2.7172093318778465e-13
靖江市,虹口区,2.632122903022326e-13
泰兴市,虹口区,4.498041660980282e-13
黄浦区,杨浦区,1.0596071035818306e-10
徐汇区,杨浦区,5.776068414159355e-11
长宁区,杨浦区,6.239520729155868e-11
静安区,杨浦区,1.6438589128919767e-10
普陀区,杨浦区,7.496308568453877e-11
虹口区,杨浦区,8.341763718468766e-10
闵行区,杨浦区,4.2818677315545706e-11
宝山区,杨浦区,2.3409775557203807e-10
嘉定区,杨浦区,4.90261966919481e-11
浦东新区,杨浦区,2.9514905619389954e-10
金山区,杨浦区,1.662855697350346e-11
松江区,杨浦区,3.2569585787400705e-11
青浦区,杨浦区,2.5293086117789884e-11
奉贤区,杨浦区,2.3506617704735658e-11
崇明区,杨浦区,1.385951785228902e-10
玄武区,杨浦区,3.763395063481639e-13
秦淮区,杨浦区,2.305562159199128e-13
鼓楼区,杨浦区,6.159744911596015e-13
浦口区,杨浦区,3.180862617130899e-13
栖霞区,杨浦区,3.4010560241550697e-13
雨花台区,杨浦区,1.054475484804153e-12
江宁区,杨浦区,4.41100773204248e-13
六合区,杨浦区,1.408266446677565e-13
溧水区,杨浦区,3.292947667231155e-13
锡山区,杨浦区,9.922249871809337e-13
惠山区,杨浦区,9.227280097970493e-13
滨湖区,杨浦区,1.0755043419110534e-12
梁溪区,杨浦区,1.3295642236170548e-12
新吴区,杨浦区,1.6692886678288026e-12
江阴市,杨浦区,1.3365448242389446e-12
宜兴市,杨浦区,1.911431785112355e-12
天宁区,杨浦区,5.357868020972444e-13
钟楼区,杨浦区,4.109034720101024e-13
新北区,杨浦区,5.581131179974241e-13
武进区,杨浦区,5.048325284456061e-13
金坛区,杨浦区,3.127742561715662e-13
溧阳市,杨浦区,8.267084297589287e-13
虎丘区,杨浦区,6.529530076840615e-13
吴中区,杨浦区,1.2056144527861292e-12
相城区,杨浦区,7.939795234827602e-13
姑苏区,杨浦区,2.316924382784422e-12
吴江区,杨浦区,2.7361676535481867e-12
常熟市,杨浦区,3.3480209271486164e-12
张家港市,杨浦区,9.95570860606295e-13
昆山市,杨浦区,1.3524193030019082e-11
太仓市,杨浦区,1.7835359959210018e-11
崇川区,杨浦区,3.5670234616383325e-12
港闸区,杨浦区,3.805378956792103e-13
通州区,杨浦区,1.505867711207433e-12
如东县,杨浦区,1.9901040651476465e-12
启东市,杨浦区,3.421326494231147e-11
如皋市,杨浦区,1.1552543972143765e-12
海门市,杨浦区,4.148955370758556e-12
海安市,杨浦区,1.626000575394721e-12
广陵区,杨浦区,1.6407848579677032e-13
邗江区,杨浦区,3.175295792447636e-13
江都区,杨浦区,2.8064047747970186e-13
宝应县,杨浦区,4.099706157552992e-13
仪征市,杨浦区,3.0388275116446783e-13
高邮市,杨浦区,3.091212247060112e-13
京口区,杨浦区,1.2921519743410178e-13
润州区,杨浦区,9.823454004897977e-13
丹徒区,杨浦区,3.347229993433033e-13
丹阳市,杨浦区,1.037024159806791e-12
句容市,杨浦区,4.466771543036241e-13
海陵区,杨浦区,2.154208985034985e-13
高港区,杨浦区,8.987397334313211e-14
姜堰区,杨浦区,3.065785379864477e-13
兴化市,杨浦区,6.114289751416921e-13
靖江市,杨浦区,7.107392971875449e-13
泰兴市,杨浦区,7.422459181969743e-13
黄浦区,闵行区,9.600669250479081e-11
徐汇区,闵行区,2.7425091203810177e-10
长宁区,闵行区,2.1425285702849782e-10
静安区,闵行区,6.115736953623378e-11
普陀区,闵行区,7.557802103238278e-11
虹口区,闵行区,3.5991454555924944e-11
杨浦区,闵行区,4.328053991599416e-11
宝山区,闵行区,5.103007760830283e-11
嘉定区,闵行区,1.1453737957204423e-10
浦东新区,闵行区,1.9332321557803315e-10
金山区,闵行区,1.224598279510538e-10
松江区,闵行区,3.5993914109809947e-10
青浦区,闵行区,2.3763492905286644e-10
奉贤区,闵行区,3.3218263254033806e-10
崇明区,闵行区,4.392553868781192e-11
玄武区,闵行区,5.913045144996463e-13
秦淮区,闵行区,4.743342209049299e-13
建邺区,闵行区,2.407551202347453e-13
鼓楼区,闵行区,6.290823029260129e-13
浦口区,闵行区,1.2331998333066137e-12
栖霞区,闵行区,7.591251562440516e-13
雨花台区,闵行区,4.699952575693533e-12
江宁区,闵行区,1.6373480997033414e-12
六合区,闵行区,4.4917156338616e-13
溧水区,闵行区,3.259543356315634e-13
高淳区,闵行区,3.28400300474837e-13
锡山区,闵行区,4.192366701635614e-12
惠山区,闵行区,3.0540731625752483e-12
滨湖区,闵行区,2.1475434999358066e-12
梁溪区,闵行区,2.7652401477789293e-12
新吴区,闵行区,4.603997899027519e-12
江阴市,闵行区,1.8521813097324256e-12
宜兴市,闵行区,3.2107376745172072e-12
天宁区,闵行区,1.6122690921608986e-12
钟楼区,闵行区,8.270282117544079e-13
新北区,闵行区,1.9961914503487017e-12
武进区,闵行区,9.421642165279753e-13
金坛区,闵行区,0.0
溧阳市,闵行区,0.0
虎丘区,闵行区,0.0
吴中区,闵行区,0.0
相城区,闵行区,0.0
姑苏区,闵行区,0.0
吴江区,闵行区,0.0
常熟市,闵行区,0.0
张家港市,闵行区,0.0
昆山市,闵行区,0.0
太仓市,闵行区,0.0
崇川区,闵行区,0.0
港闸区,闵行区,0.0
通州区,闵行区,0.0
如东县,闵行区,0.0
启东市,闵行区,0.0
如皋市,闵行区,0.0
海门市,闵行区,0.0
海安市,闵行区,0.0
广陵区,闵行区,0.0
邗江区,闵行区,0.0
江都区,闵行区,0.0
宝应县,闵行区,0.0
仪征市,闵行区,0.0
高邮市,闵行区,0.0
京口区,闵行区,0.0
润州区,闵行区,0.0
丹徒区,闵行区,0.0
丹阳市,闵行区,0.0
扬中市,闵行区,0.0
句容市,闵行区,0.0
海陵区,闵行区,0.0
高港区,闵行区,0.0
姜堰区,闵行区,0.0
兴化市,闵行区,0.0
靖江市,闵行区,0.0
泰兴市,闵行区,0.0
黄浦区,宝山区,0.0
徐汇区,宝山区,0.0
长宁区,宝山区,0.0
静安区,宝山区,0.0
普陀区,宝山区,0.0
虹口区,宝山区,0.0
杨浦区,宝山区,0.0
闵行区,宝山区,0.0
嘉定区,宝山区,0.0
浦东新区,宝山区,0.0
金山区,宝山区,0.0
松江区,宝山区,0.0
青浦区,宝山区,0.0
奉贤区,宝山区,0.0
崇明区,宝山区,0.0
玄武区,宝山区,0.0
秦淮区,宝山区,0.0
建邺区,宝山区,0.0
鼓楼区,宝山区,0.0
浦口区,宝山区,0.0
栖霞区,宝山区,0.0
雨花台区,宝山区,0.0
江宁区,宝山区,0.0
六合区,宝山区,0.0
溧水区,宝山区,0.0
高淳区,宝山区,0.0
锡山区,宝山区,0.0
惠山区,宝山区,0.0
滨湖区,宝山区,0.0
梁溪区,宝山区,0.0
新吴区,宝山区,0.0
江阴市,宝山区,0.0
宜兴市,宝山区,0.0
天宁区,宝山区,0.0
钟楼区,宝山区,0.0
新北区,宝山区,0.0
武进区,宝山区,0.0
金坛区,宝山区,0.0
溧阳市,宝山区,0.0
虎丘区,宝山区,0.0
吴中区,宝山区,0.0
相城区,宝山区,0.0
姑苏区,宝山区,0.0
吴江区,宝山区,0.0
常熟市,宝山区,0.0
张家港市,宝山区,0.0
昆山市,宝山区,0.0
太仓市,宝山区,0.0
崇川区,宝山区,0.0
港闸区,宝山区,0.0
通州区,宝山区,0.0
如东县,宝山区,0.0
启东市,宝山区,0.0
如皋市,宝山区,0.0
海门市,宝山区,0.0
海安市,宝山区,0.0
广陵区,宝山区,0.0
邗江区,宝山区,0.0
江都区,宝山区,0.0
宝应县,宝山区,0.0
仪征市,宝山区,0.0
高邮市,宝山区,0.0
京口区,宝山区,0.0
润州区,宝山区,0.0
丹徒区,宝山区,0.0
丹阳市,宝山区,0.0
扬中市,宝山区,0.0
句容市,宝山区,0.0
海陵区,宝山区,0.0
高港区,宝山区,0.0
姜堰区,宝山区,0.0
兴化市,宝山区,0.0
靖江市,宝山区,0.0
泰兴市,宝山区,0.0
黄浦区,嘉定区,0.0
徐汇区,嘉定区,0.0
长宁区,嘉定区,0.0
静安区,嘉定区,0.0
普陀区,嘉定区,0.0
虹口区,嘉定区,0.0
杨浦区,嘉定区,0.0
闵行区,嘉定区,0.0
宝山区,嘉定区,0.0
浦东新区,嘉定区,0.0
金山区,嘉定区,0.0
松江区,嘉定区,0.0
青浦区,嘉定区,0.0
奉贤区,嘉定区,0.0
崇明区,嘉定区,0.0
玄武区,嘉定区,0.0
秦淮区,嘉定区,0.0
建邺区,嘉定区,0.0
鼓楼区,嘉定区,0.0
浦口区,嘉定区,0.0
栖霞区,嘉定区,0.0
雨花台区,嘉定区,0.0
江宁区,嘉定区,0.0
六合区,嘉定区,0.0
溧水区,嘉定区,0.0
