OAREA,DAREA,F0
高港区,虹口区,2.702772147511117e-10
姜堰区,虹口区,2.3049273963076922e-10
兴化市,虹口区,3.6774900290318934e-10
靖江市,虹口区,3.5623334637826993e-10
泰兴市,虹口区,6.087680902741974e-10
黄浦区,杨浦区,1.4340796317744743e-07
徐汇区,杨浦区,7.81737120908431e-08
长宁区,杨浦区,8.444610799106462e-08
静安区,杨浦区,2.2248100984982268e-07
普陀区,杨浦区,1.0145556211520767e-07
虹口区,杨浦区,1.1289801098249723e-06
闵行区,杨浦区,5.795109601490668e-08
宝山区,杨浦区,3.16829532356993e-07
嘉定区,杨浦区,6.635239596037893e-08
浦东新区,杨浦区,3.994567877039938e-07
金山区,杨浦区,2.2505204788541786e-08
松江区,杨浦区,4.407990417878099e-08
青浦区,杨浦区,3.423183886143037e-08
奉贤区,杨浦区,3.181402007245725e-08
崇明区,杨浦区,1.8757567961743515e-07
玄武区,杨浦区,5.093405082521538e-10
秦淮区,杨浦区,3.1203638793292646e-10
鼓楼区,杨浦区,8.336641652161321e-10
浦口区,杨浦区,4.3050016135985525e-10
栖霞区,杨浦区,4.6030129038182627e-10
雨花台区,杨浦区,1.4271344631905502e-09
江宁区,杨浦区,5.969888577321451e-10
六合区,杨浦区,1.9059576143505388e-10
溧水区,杨浦区,4.456698300825212e-10
锡山区,杨浦区,1.3428842062721945e-09
惠山区,杨浦区,1.2488265131902767e-09
滨湖区,杨浦区,1.4555950648178524e-09
梁溪区,杨浦区,1.799441477675986e-09
新吴区,杨浦区,2.2592269058909323e-09
江阴市,杨浦区,1.8088890711618775e-09
宜兴市,杨浦区,2.5869450868061877e-09
天宁区,杨浦区,7.25137588511741e-10
钟楼区,杨浦区,5.561196200395169e-10
新北区,杨浦区,7.553541799037577e-10
武进区,杨浦区,6.832438590245269e-10
金坛区,杨浦区,4.233108560737531e-10
溧阳市,杨浦区,1.118872945005677e-09
虎丘区,杨浦区,8.837111469527625e-10
吴中区,杨浦区,1.631686994801271e-09
相城区,杨浦区,1.0745774153680875e-09
姑苏区,杨浦区,3.135741591842004e-09
吴江区,杨浦区,3.7031483535827197e-09
常熟市,杨浦区,4.531234834259233e-09
张家港市,杨浦区,1.3474125346625825e-09
昆山市,杨浦区,1.8303737012498112e-08
太仓市,杨浦区,2.4138500352073034e-08
崇川区,杨浦区,4.8276343892990535e-09
港闸区,杨浦区,5.15022637605157e-10
通州区,杨浦区,2.038051845339154e-09
如东县,杨浦区,2.6934206983819233e-09
启东市,杨浦区,4.630447099157584e-08
如皋市,杨浦区,1.5635293449456292e-09
海门市,杨浦区,5.6152250869528644e-09
海安市,杨浦区,2.200640500186176e-09
广陵区,杨浦区,2.2206496511598173e-10
邗江区,杨浦区,4.2974674343117764e-10
江都区,杨浦区,3.7982077625249003e-10
宝应县,杨浦区,5.548570858890147e-10
仪征市,杨浦区,4.11277031287757e-10
高邮市,杨浦区,4.1836681785310036e-10
京口区,杨浦区,1.748807479013395e-10
润州区,杨浦区,1.3295131048552494e-09
丹徒区,杨浦区,4.530164379061481e-10
丹阳市,杨浦区,1.4035157184297844e-09
句容市,杨浦区,6.045359707390275e-10
海陵区,杨浦区,2.9155214395801344e-10
高港区,杨浦区,1.2163606129323597e-10
姜堰区,杨浦区,4.149255279427332e-10
兴化市,杨浦区,8.275122321881698e-10
靖江市,杨浦区,9.619195135186712e-10
泰兴市,杨浦区,1.0045607937657806e-09
黄浦区,闵行区,1.2993612610725845e-07
徐汇区,闵行区,3.711730938948367e-07
长宁区,闵行区,2.899713084929585e-07
静安区,闵行区,8.277080975424434e-08
普陀区,闵行区,1.0228781989662518e-07
虹口区,闵行区,4.871108519574256e-08
杨浦区,闵行区,5.857618407419066e-08
宝山区,闵行区,6.906446234510938e-08
嘉定区,闵行区,1.5501568700875114e-07
浦东新区,闵行区,2.616449860258912e-07
金山区,闵行区,1.657379838069859e-07
松江区,闵行区,4.871441397309582e-07
青浦区,闵行区,3.216167675744257e-07
奉贤区,闵行区,4.4957828778705826e-07
崇明区,闵行区,5.944912990293858e-08
玄武区,闵行区,8.002756470334951e-10
秦淮区,闵行区,6.419672372466699e-10
建邺区,闵行区,3.2583965604511365e-10
鼓楼区,闵行区,8.514043689273017e-10
浦口区,闵行区,1.6690212408679975e-09
栖霞区,闵行区,1.0274052720647285e-09
雨花台区,闵行区,6.360948540571532e-09
江宁区,闵行区,2.2159983185955174e-09
六合区,闵行区,6.07911921359296e-10
溧水区,闵行区,4.4114886738460437e-10
高淳区,闵行区,4.4445925323414985e-10
锡山区,闵行区,5.673978284424424e-09
惠山区,闵行区,4.1334038829987685e-09
滨湖区,闵行区,2.906500325636753e-09
梁溪区,闵行区,3.7424952696993216e-09
新吴区,闵行区,6.231082813062647e-09
江阴市,闵行区,2.5067550808803267e-09
宜兴市,闵行区,4.3454347242779485e-09
天宁区,闵行区,2.182056215168539e-09
钟楼区,闵行区,1.1193057401849226e-09
新北区,闵行区,2.7016594078980158e-09
武进区,闵行区,1.275131610709497e-09
金坛区,闵行区,1.536394593140564e-09
溧阳市,闵行区,1.2921100232489596e-09
虎丘区,闵行区,2.835936487475685e-09
吴中区,闵行区,4.291860654526311e-09
相城区,闵行区,4.1610496930584e-09
姑苏区,闵行区,8.824904735382274e-09
吴江区,闵行区,1.4615784459582684e-08
常熟市,闵行区,7.274615545455281e-09
张家港市,闵行区,2.941076768689281e-09
昆山市,闵行区,4.3707989115253626e-08
太仓市,闵行区,3.223895457589264e-08
崇川区,闵行区,8.849373913784524e-09
港闸区,闵行区,8.874264028928919e-10
通州区,闵行区,2.7027685003837987e-09
如东县,闵行区,2.195610206044496e-09
启东市,闵行区,1.7665476293029168e-08
如皋市,闵行区,2.7008334300502796e-09
海门市,闵行区,5.900310097843359e-09
海安市,闵行区,2.677514361541936e-09
广陵区,闵行区,2.4423588254555034e-10
邗江区,闵行区,4.726525640736295e-10
江都区,闵行区,5.908065418361137e-10
宝应县,闵行区,1.2815331809533872e-09
仪征市,闵行区,7.802844988607634e-10
高邮市,闵行区,6.556944686397525e-10
京口区,闵行区,5.385542496020671e-10
润州区,闵行区,3.3238099170526326e-09
丹徒区,闵行区,2.989472998458687e-09
丹阳市,闵行区,3.222353551828972e-09
扬中市,闵行区,4.083360030354823e-10
句容市,闵行区,4.160328668098515e-09
海陵区,闵行区,6.493378083284998e-10
高港区,闵行区,4.816086443428279e-10
姜堰区,闵行区,6.50301032394515e-10
兴化市,闵行区,9.283334894586393e-10
靖江市,闵行区,1.1990183264278427e-09
泰兴市,闵行区,1.2052973707265475e-09
黄浦区,宝山区,8.901259045508894e-08
徐汇区,宝山区,8.391954466180264e-08
长宁区,宝山区,1.149757958039358e-07
静安区,宝山区,4.2645443641725797e-07
普陀区,宝山区,3.688537443427689e-07
虹口区,宝山区,2.9052490653873613e-07
杨浦区,宝山区,3.1260275028018214e-07
闵行区,宝山区,6.698630757085724e-08
嘉定区,宝山区,4.726028773204915e-07
浦东新区,宝山区,1.556084615156195e-07
金山区,宝山区,2.9381420024101428e-08
松江区,宝山区,5.386431884054374e-08
青浦区,宝山区,7.856452428304238e-08
奉贤区,宝山区,3.177255619702431e-08
崇明区,宝山区,3.506506449369725e-07
玄武区,宝山区,4.756925737003999e-10
秦淮区,宝山区,1.574968335545108e-10
建邺区,宝山区,9.07887401666189e-11
鼓楼区,宝山区,5.839431273309397e-10
浦口区,宝山区,6.816182923167248e-10
栖霞区,宝山区,3.9828319582363047e-10
雨花台区,宝山区,9.932879238054558e-10
江宁区,宝山区,6.631804441573821e-10
六合区,宝山区,5.840778183119373e-10
溧水区,宝山区,4.5524947683713463e-10
