OAREA,DAREA,F
仪征市,虹口区,7.695407724283506e-14
高邮市,虹口区,3.7245546814478073e-13
京口区,虹口区,1.1290005633910869e-13
润州区,虹口区,5.120753631302623e-13
丹徒区,虹口区,2.540687008515988e-13
丹阳市,虹口区,3.628976916025773e-13
扬中市,虹口区,1.7360985494748553e-13
句容市,虹口区,8.102911645188414e-13
海陵区,虹口区,2.486423292798166e-13
高港区,虹口区,3.295852885131242e-13
姜堰区,虹口区,2.2357542453624158e-13
兴化市,虹口区,2.482238421691753e-13
靖江市,虹口区,6.301469900275589e-13
泰兴市,虹口区,7.911697447854628e-13
黄浦区,杨浦区,9.091885123160752e-11
徐汇区,杨浦区,5.1062324311820524e-11
长宁区,杨浦区,5.2118888167624475e-11
静安区,杨浦区,1.3615115317725266e-10
普陀区,杨浦区,6.4382675798577e-11
虹口区,杨浦区,6.483972131416883e-10
闵行区,杨浦区,3.609135339875843e-11
宝山区,杨浦区,1.9395896690434478e-10
嘉定区,杨浦区,4.345490052803372e-11
浦东新区,杨浦区,2.4274862021871035e-10
金山区,杨浦区,1.1692417477009767e-11
松江区,杨浦区,2.362519044066814e-11
青浦区,杨浦区,2.020781874269038e-11
奉贤区,杨浦区,2.097955575861013e-11
崇明区,杨浦区,1.1410275199202201e-10
玄武区,杨浦区,2.633858582506985e-13
秦淮区,杨浦区,1.4604249367414218e-13
建邺区,杨浦区,2.5673071337712e-14
鼓楼区,杨浦区,2.9116810859805923e-13
浦口区,杨浦区,1.0315757140101531e-13
栖霞区,杨浦区,6.270950217352045e-14
雨花台区,杨浦区,4.724304769168348e-13
江宁区,杨浦区,1.628670366197192e-13
六合区,杨浦区,4.038893397088181e-14
溧水区,杨浦区,9.179588400778677e-14
高淳区,杨浦区,2.43168339778344e-13
锡山区,杨浦区,5.727956681831986e-13
惠山区,杨浦区,4.642755927439209e-13
滨湖区,杨浦区,3.903245844849968e-13
梁溪区,杨浦区,4.916993122997622e-13
新吴区,杨浦区,7.978642149629089e-13
江阴市,杨浦区,1.0931537425831906e-12
宜兴市,杨浦区,9.371853121223372e-13
天宁区,杨浦区,3.291843785773127e-13
钟楼区,杨浦区,1.2021209963047726e-13
新北区,杨浦区,3.624925110583361e-13
武进区,杨浦区,2.4529839001722784e-13
金坛区,杨浦区,3.9235647438358765e-14
溧阳市,杨浦区,6.782353539047615e-14
虎丘区,杨浦区,3.593912331847976e-13
吴中区,杨浦区,3.727687135587733e-13
相城区,杨浦区,5.710771111125604e-13
姑苏区,杨浦区,1.2604929398905985e-12
吴江区,杨浦区,1.44395318842809e-12
常熟市,杨浦区,1.992825481794249e-12
张家港市,杨浦区,1.020192869879994e-12
昆山市,杨浦区,1.0558100936464019e-11
太仓市,杨浦区,1.1805754588348887e-11
崇川区,杨浦区,1.1951470898103085e-12
港闸区,杨浦区,1.402168098487141e-13
通州区,杨浦区,8.168968889748149e-13
如东县,杨浦区,1.3157990238605154e-12
启东市,杨浦区,1.9029725318345697e-11
如皋市,杨浦区,1.07908293411517e-12
海门市,杨浦区,3.065413637679476e-12
海安市,杨浦区,1.2160139593762577e-12
广陵区,杨浦区,2.3318340829322822e-14
邗江区,杨浦区,1.1093740783569145e-13
江都区,杨浦区,3.1330574587344e-13
宝应县,杨浦区,3.7662198208308053e-13
仪征市,杨浦区,2.850587376058053e-13
高邮市,杨浦区,3.449189743017018e-13
京口区,杨浦区,6.970206277287077e-14
润州区,杨浦区,5.374453073507427e-13
丹徒区,杨浦区,3.529272216208999e-13
丹阳市,杨浦区,6.347947829657263e-13
句容市,杨浦区,4.617750556348046e-13
海陵区,杨浦区,4.605192540754601e-13
高港区,杨浦区,7.630457154054158e-14
姜堰区,杨浦区,7.591685805522474e-13
兴化市,杨浦区,5.746801991167063e-13
靖江市,杨浦区,5.18718903299864e-13
泰兴市,杨浦区,1.1835547280970792e-12
黄浦区,闵行区,7.903844856645556e-11
徐汇区,闵行区,2.2890240783396368e-10
长宁区,闵行区,1.7480514434592202e-10
静安区,闵行区,5.518082461928444e-11
普陀区,闵行区,6.741005121178446e-11
虹口区,闵行区,3.2804191853677775e-11
杨浦区,闵行区,3.841296840572871e-11
宝山区,闵行区,4.542306381536889e-11
嘉定区,闵行区,9.813673517336305e-11
浦东新区,闵行区,1.5402136997525632e-10
金山区,闵行区,9.98881051967982e-11
松江区,闵行区,3.0468713323179155e-10
青浦区,闵行区,2.0182133926953844e-10
奉贤区,闵行区,2.8278828604576146e-10
崇明区,闵行区,2.7094754345309492e-11
玄武区,闵行区,2.855136773256893e-13
秦淮区,闵行区,3.717279513716718e-13
建邺区,闵行区,1.6366656025351593e-13
鼓楼区,闵行区,2.785188854251109e-13
浦口区,闵行区,4.721463763854986e-13
栖霞区,闵行区,4.612786853410769e-13
雨花台区,闵行区,2.213770640912135e-12
江宁区,闵行区,1.1429976122614956e-12
六合区,闵行区,2.508785365002366e-13
溧水区,闵行区,6.302168626027796e-13
高淳区,闵行区,1.5899539332850285e-13
锡山区,闵行区,2.4493733315900878e-12
惠山区,闵行区,2.1401414668802564e-12
滨湖区,闵行区,1.1892942920088397e-12
梁溪区,闵行区,1.6155231239779282e-12
新吴区,闵行区,2.76491871606688e-12
江阴市,闵行区,1.7868939006304202e-12
宜兴市,闵行区,1.8022874903477372e-12
天宁区,闵行区,8.310535879762004e-13
钟楼区,闵行区,6.681048432893407e-13
新北区,闵行区,1.3160591503113009e-12
武进区,闵行区,8.643137831094698e-13
金坛区,闵行区,0.0
溧阳市,闵行区,0.0
虎丘区,闵行区,0.0
吴中区,闵行区,0.0
相城区,闵行区,0.0
姑苏区,闵行区,0.0
吴江区,闵行区,0.0
常熟市,闵行区,0.0
张家港市,闵行区,0.0
昆山市,闵行区,0.0
太仓市,闵行区,0.0
崇川区,闵行区,0.0
港闸区,闵行区,0.0
通州区,闵行区,0.0
如东县,闵行区,0.0
启东市,闵行区,0.0
如皋市,闵行区,0.0
海门市,闵行区,0.0
海安市,闵行区,0.0
广陵区,闵行区,0.0
邗江区,闵行区,0.0
江都区,闵行区,0.0
宝应县,闵行区,0.0
仪征市,闵行区,0.0
高邮市,闵行区,0.0
京口区,闵行区,0.0
润州区,闵行区,0.0
丹徒区,闵行区,0.0
丹阳市,闵行区,0.0
扬中市,闵行区,0.0
句容市,闵行区,0.0
海陵区,闵行区,0.0
高港区,闵行区,0.0
姜堰区,闵行区,0.0
兴化市,闵行区,0.0
靖江市,闵行区,0.0
泰兴市,闵行区,0.0
黄浦区,宝山区,0.0
徐汇区,宝山区,0.0
长宁区,宝山区,0.0
静安区,宝山区,0.0
普陀区,宝山区,0.0
虹口区,宝山区,0.0
杨浦区,宝山区,0.0
闵行区,宝山区,0.0
嘉定区,宝山区,0.0
浦东新区,宝山区,0.0
金山区,宝山区,0.0
松江区,宝山区,0.0
青浦区,宝山区,0.0
奉贤区,宝山区,0.0
崇明区,宝山区,0.0
玄武区,宝山区,0.0
秦淮区,宝山区,0.0
建邺区,宝山区,0.0
鼓楼区,宝山区,0.0
浦口区,宝山区,0.0
栖霞区,宝山区,0.0
雨花台区,宝山区,0.0
江宁区,宝山区,0.0
六合区,宝山区,0.0
溧水区,宝山区,0.0
高淳区,宝山区,0.0
锡山区,宝山区,0.0
惠山区,宝山区,0.0
滨湖区,宝山区,0.0
梁溪区,宝山区,0.0
新吴区,宝山区,0.0
江阴市,宝山区,0.0
宜兴市,宝山区,0.0
天宁区,宝山区,0.0
钟楼区,宝山区,0.0
新北区,宝山区,0.0
武进区,宝山区,0.0
金坛区,宝山区,0.0
溧阳市,宝山区,0.0
虎丘区,宝山区,0.0
吴中区,宝山区,0.0
相城区,宝山区,0.0
姑苏区,宝山区,0.0
吴江区,宝山区,0.0
常熟市,宝山区,0.0
张家港市,宝山区,0.0
昆山市,宝山区,0.0
太仓市,宝山区,0.0
崇川区,宝山区,0.0
港闸区,宝山区,0.0
通州区,宝山区,0.0
如东县,宝山区,0.0
启东市,宝山区,0.0
如皋市,宝山区,0.0
海门市,宝山区,0.0
海安市,宝山区,0.0
广陵区,宝山区,0.0
邗江区,宝山区,0.0
江都区,宝山区,0.0
宝应县,宝山区,0.0
仪征市,宝山区,0.0
高邮市,宝山区,0.0
京口区,宝山区,0.0
润州区,宝山区,0.0
丹徒区,宝山区,0.0
丹阳市,宝山区,0.0
扬中市,宝山区,0.0
句容市,宝山区,0.0
海陵区,宝山区,0.0
高港区,宝山区,0.0
姜堰区,宝山区,0.0
兴化市,宝山区,0.0
