OAREA,DAREA,F0
嘉定区,闵行区,1.6399362305522312e-08
浦东新区,闵行区,1.6736863034547386e-08
金山区,闵行区,6.967686474863362e-09
松江区,闵行区,5.5265442586008516e-08
青浦区,闵行区,3.1779470642334856e-08
奉贤区,闵行区,2.4975091900639038e-08
崇明区,闵行区,3.6812007606372874e-09
玄武区,闵行区,2.7913563493482243e-10
秦淮区,闵行区,2.912605685959969e-10
建邺区,闵行区,3.0287357078061447e-10
鼓楼区,闵行区,2.842915314253527e-10
浦口区,闵行区,1.912998564645725e-10
栖霞区,闵行区,1.942802324054879e-10
雨花台区,闵行区,3.320997520368301e-10
江宁区,闵行区,2.777386110579517e-10
六合区,闵行区,9.544639251017745e-11
溧水区,闵行区,1.0669930942066199e-10
高淳区,闵行区,2.726776417322308e-10
锡山区,闵行区,2.8056200213164297e-10
惠山区,闵行区,3.686676900177354e-10
滨湖区,闵行区,5.106870439572059e-10
梁溪区,闵行区,5.021245445162981e-10
新吴区,闵行区,3.552819472773235e-10
江阴市,闵行区,1.7545048076805642e-10
宜兴市,闵行区,2.880510772068709e-10
天宁区,闵行区,2.6338304792018687e-10
钟楼区,闵行区,2.415354397554938e-10
新北区,闵行区,2.188061683663211e-10
武进区,闵行区,1.2308982701146255e-10
金坛区,闵行区,1.7542394618092504e-10
溧阳市,闵行区,2.357228560516333e-10
虎丘区,闵行区,4.939103406170283e-10
吴中区,闵行区,5.098562593833516e-10
相城区,闵行区,3.043758642084213e-10
姑苏区,闵行区,9.808541226188794e-10
吴江区,闵行区,3.2248433202041115e-10
常熟市,闵行区,2.4112833219055565e-10
张家港市,闵行区,2.4866955309476235e-10
昆山市,闵行区,1.4146153528504625e-09
太仓市,闵行区,8.04702344804027e-10
崇川区,闵行区,3.1221993401747813e-10
港闸区,闵行区,3.7171273517971934e-10
通州区,闵行区,3.884205016616106e-10
如东县,闵行区,2.7148472716884806e-10
启东市,闵行区,8.76663435795301e-10
如皋市,闵行区,4.291843179300473e-10
海门市,闵行区,6.519206589020658e-10
海安市,闵行区,2.803399219794861e-10
广陵区,闵行区,2.1781674140030638e-10
邗江区,闵行区,2.226003824188943e-10
江都区,闵行区,1.9536243777812277e-10
宝应县,闵行区,5.276402719064924e-10
仪征市,闵行区,2.1064162372677456e-10
高邮市,闵行区,3.074959478143889e-10
京口区,闵行区,2.0999956630173098e-10
润州区,闵行区,2.9453516318177654e-10
丹徒区,闵行区,1.8171741079146224e-10
丹阳市,闵行区,1.8630025384452869e-10
扬中市,闵行区,2.5110553112677025e-10
句容市,闵行区,1.7482612383205568e-10
海陵区,闵行区,1.001887582856311e-10
高港区,闵行区,8.229192484806587e-11
姜堰区,闵行区,3.8780614935206166e-10
兴化市,闵行区,3.9679261942095844e-10
靖江市,闵行区,3.708996311322876e-10
泰兴市,闵行区,3.837091515776581e-10
黄浦区,宝山区,7.676247843534292e-09
徐汇区,宝山区,5.393167435298044e-09
长宁区,宝山区,1.0624371306183773e-08
静安区,宝山区,3.040491483636653e-08
普陀区,宝山区,3.403485555737516e-08
虹口区,宝山区,2.5403851181197535e-08
杨浦区,宝山区,1.603639751029164e-08
闵行区,宝山区,4.88832683186165e-09
宝山区,宝山区,1.454581221408956e-06
嘉定区,宝山区,2.6193198513370885e-08
浦东新区,宝山区,5.873195065746698e-09
金山区,宝山区,1.4203206174144807e-09
松江区,宝山区,2.889588464948667e-09
青浦区,宝山区,1.9928904932798906e-08
奉贤区,宝山区,1.867271166293632e-09
崇明区,宝山区,7.628584683285861e-09
玄武区,宝山区,1.5494336492771505e-10
秦淮区,宝山区,2.0576653487465515e-10
建邺区,宝山区,9.468820980016044e-11
鼓楼区,宝山区,1.321788099571348e-10
浦口区,宝山区,9.473567749541635e-11
栖霞区,宝山区,1.1363953344327246e-10
雨花台区,宝山区,1.3518474245847636e-10
江宁区,宝山区,1.1241409457180963e-10
六合区,宝山区,8.241433245592875e-11
溧水区,宝山区,2.303269963418154e-11
高淳区,宝山区,9.631913744366174e-11
锡山区,宝山区,1.6031556130672274e-10
惠山区,宝山区,1.6776879756733522e-10
滨湖区,宝山区,3.6002336781335274e-10
梁溪区,宝山区,1.8581376889486671e-10
新吴区,宝山区,2.0079651851858547e-10
江阴市,宝山区,1.817937864968041e-10
宜兴市,宝山区,7.461634730307103e-11
天宁区,宝山区,2.1117687676960493e-10
钟楼区,宝山区,1.6321826549912118e-10
新北区,宝山区,1.7250204443557996e-10
武进区,宝山区,1.484302481280775e-10
金坛区,宝山区,7.573595523656964e-11
溧阳市,宝山区,2.1371461383656058e-10
虎丘区,宝山区,2.2547127957147478e-10
