OAREA,DAREA,F
润州区,静安区,1.8321365274234627e-13
丹徒区,静安区,8.053823198836374e-14
丹阳市,静安区,1.3630500025393089e-13
扬中市,静安区,1.9785148018921738e-13
句容市,静安区,7.513597364430912e-14
海陵区,静安区,9.47290680671999e-14
高港区,静安区,9.725938173733382e-14
姜堰区,静安区,1.666695570326133e-13
兴化市,静安区,5.5172027423491193e-14
靖江市,静安区,1.0520634352048497e-13
泰兴市,静安区,3.2839590874272857e-13
黄浦区,普陀区,2.0808233652665267e-11
徐汇区,普陀区,1.6035803666474846e-11
长宁区,普陀区,3.308596837268042e-11
静安区,普陀区,3.5568079724005227e-11
普陀区,普陀区,1.1272098938078968e-09
虹口区,普陀区,2.1349491838311623e-11
杨浦区,普陀区,1.5159195233056376e-11
闵行区,普陀区,1.3969774249811418e-11
宝山区,普陀区,3.611164060117389e-11
嘉定区,普陀区,4.6917956013746515e-11
浦东新区,普陀区,9.709461948174016e-12
金山区,普陀区,1.889661836744754e-12
松江区,普陀区,6.4870907320349716e-12
青浦区,普陀区,9.951390180261684e-12
奉贤区,普陀区,1.8299685302003707e-12
崇明区,普陀区,9.667222675542308e-12
玄武区,普陀区,1.4179216456838477e-13
秦淮区,普陀区,2.25961911096159e-13
建邺区,普陀区,1.6711324917665852e-13
鼓楼区,普陀区,1.555197523243873e-13
浦口区,普陀区,7.80252778308694e-14
栖霞区,普陀区,9.359468791375575e-14
雨花台区,普陀区,6.073066010999145e-14
江宁区,普陀区,8.024068334722919e-14
六合区,普陀区,7.919017329737296e-14
溧水区,普陀区,3.793993637167856e-14
高淳区,普陀区,2.644314390719737e-14
锡山区,普陀区,8.802502951558055e-14
惠山区,普陀区,2.1257862503686094e-13
滨湖区,普陀区,3.7926842010843484e-13
梁溪区,普陀区,2.380593135737433e-13
新吴区,普陀区,7.579828518232643e-14
江阴市,普陀区,9.357951957978814e-14
宜兴市,普陀区,1.45955127830854e-13
天宁区,普陀区,2.40822618262608e-13
钟楼区,普陀区,1.568329481657072e-13
新北区,普陀区,1.0148175503612084e-13
武进区,普陀区,8.602684759623876e-14
金坛区,普陀区,6.237691126878305e-14
溧阳市,普陀区,2.5145364694040284e-13
虎丘区,普陀区,1.684260018801745e-13
吴中区,普陀区,1.9424326453406512e-13
相城区,普陀区,3.01074478368326e-13
姑苏区,普陀区,5.464066982855504e-13
吴江区,普陀区,1.6147177506015788e-13
常熟市,普陀区,1.0143881548113306e-13
张家港市,普陀区,1.1368471382528069e-13
昆山市,普陀区,1.458328115296483e-12
太仓市,普陀区,1.1693213877388126e-12
崇川区,普陀区,2.1365837420515503e-13
港闸区,普陀区,2.0869405806447958e-13
通州区,普陀区,3.266923028506863e-13
如东县,普陀区,1.8100128758906282e-13
启东市,普陀区,1.0768588814966009e-12
如皋市,普陀区,2.1216309068750905e-13
海门市,普陀区,7.835787077236885e-13
海安市,普陀区,2.6004191290931083e-13
广陵区,普陀区,8.560358245101092e-14
邗江区,普陀区,9.893977279632621e-14
江都区,普陀区,9.725324276743389e-14
宝应县,普陀区,2.4765486071642794e-13
仪征市,普陀区,1.123493185402938e-13
高邮市,普陀区,1.5687743884030751e-13
京口区,普陀区,1.054182270244593e-13
润州区,普陀区,1.6536355262988128e-13
丹徒区,普陀区,4.846104703363139e-14
丹阳市,普陀区,1.1356163647865307e-13
扬中市,普陀区,1.3393143674388231e-13
句容市,普陀区,6.781564226330358e-14
海陵区,普陀区,6.412486869198839e-14
高港区,普陀区,1.3167542361012602e-13
姜堰区,普陀区,1.692352254339682e-13
兴化市,普陀区,1.2449184768686499e-13
靖江市,普陀区,1.5826053775054397e-13
泰兴市,普陀区,2.540580198940182e-13
黄浦区,虹口区,2.3103605380480027e-11
徐汇区,虹口区,1.4235071278366488e-11
长宁区,虹口区,1.5767326242074027e-11
静安区,虹口区,6.344965383349615e-11
普陀区,虹口区,2.3518611342442527e-11
虹口区,虹口区,2.612691031459571e-09
杨浦区,虹口区,8.747171173214778e-11
闵行区,虹口区,1.0373232260211755e-11
宝山区,虹口区,3.126030303171951e-11
嘉定区,虹口区,9.430279658423429e-12
