count,OAREA,OCITY,OPROV,DAREA,DCITY,DPROV
0.013828876651507753,海安市,南通市,江苏省,长宁区,上海市,上海市
0.0,广陵区,扬州市,江苏省,长宁区,上海市,上海市
0.0,邗江区,扬州市,江苏省,长宁区,上海市,上海市
0.0,江都区,扬州市,江苏省,长宁区,上海市,上海市
0.008223472335233744,宝应县,扬州市,江苏省,长宁区,上海市,上海市
0.0,仪征市,扬州市,江苏省,长宁区,上海市,上海市
0.0,高邮市,扬州市,江苏省,长宁区,上海市,上海市
0.0,京口区,镇江市,江苏省,长宁区,上海市,上海市
0.012252741815785203,润州区,镇江市,江苏省,长宁区,上海市,上海市
0.0,丹徒区,镇江市,江苏省,长宁区,上海市,上海市
0.009376307438696514,丹阳市,镇江市,江苏省,长宁区,上海市,上海市
0.0,扬中市,镇江市,江苏省,长宁区,上海市,上海市
0.012288381027170274,句容市,镇江市,江苏省,长宁区,上海市,上海市
0.0,海陵区,泰州市,江苏省,长宁区,上海市,上海市
0.0,高港区,泰州市,江苏省,长宁区,上海市,上海市
0.0,姜堰区,泰州市,江苏省,长宁区,上海市,上海市
0.0,兴化市,泰州市,江苏省,长宁区,上海市,上海市
0.0,靖江市,泰州市,江苏省,长宁区,上海市,上海市
0.0,泰兴市,泰州市,江苏省,长宁区,上海市,上海市
2.069912940269985,黄浦区,上海市,上海市,静安区,上海市,上海市
0.9822203864499355,徐汇区,上海市,上海市,静安区,上海市,上海市
1.1731656784353657,长宁区,上海市,上海市,静安区,上海市,上海市
2.3342975195903977,普陀区,上海市,上海市,静安区,上海市,上海市
2.965015976694975,虹口区,上海市,上海市,静安区,上海市,上海市
1.4613835260960115,杨浦区,上海市,上海市,静安区,上海市,上海市
0.5363010928957197,闵行区,上海市,上海市,静安区,上海市,上海市
2.6601355959717,宝山区,上海市,上海市,静安区,上海市,上海市
0.5848122800583515,嘉定区,上海市,上海市,静安区,上海市,上海市
1.1170180914026926,浦东新区,上海市,上海市,静安区,上海市,上海市
0.13638972457607376,金山区,上海市,上海市,静安区,上海市,上海市
0.35152804842807966,松江区,上海市,上海市,静安区,上海市,上海市
0.2960407271107908,青浦区,上海市,上海市,静安区,上海市,上海市
0.17528413402220946,奉贤区,上海市,上海市,静安区,上海市,上海市
0.42169690912563396,崇明区,上海市,上海市,静安区,上海市,上海市
0.0,玄武区,南京市,江苏省,静安区,上海市,上海市
0.0,秦淮区,南京市,江苏省,静安区,上海市,上海市
0.0,建邺区,南京市,江苏省,静安区,上海市,上海市
0.0,鼓楼区,南京市,江苏省,静安区,上海市,上海市
0.0,浦口区,南京市,江苏省,静安区,上海市,上海市
0.0,栖霞区,南京市,江苏省,静安区,上海市,上海市
0.009858022311104527,雨花台区,南京市,江苏省,静安区,上海市,上海市
0.0,江宁区,南京市,江苏省,静安区,上海市,上海市
0.0,六合区,南京市,江苏省,静安区,上海市,上海市
0.0,溧水区,南京市,江苏省,静安区,上海市,上海市
0.0,高淳区,南京市,江苏省,静安区,上海市,上海市
0.0,锡山区,无锡市,江苏省,静安区,上海市,上海市
0.0,惠山区,无锡市,江苏省,静安区,上海市,上海市
0.0,滨湖区,无锡市,江苏省,静安区,上海市,上海市
0.012607018099275877,梁溪区,无锡市,江苏省,静安区,上海市,上海市
0.012776647254888697,新吴区,无锡市,江苏省,静安区,上海市,上海市
0.0,江阴市,无锡市,江苏省,静安区,上海市,上海市
0.0,宜兴市,无锡市,江苏省,静安区,上海市,上海市
0.0,天宁区,常州市,江苏省,静安区,上海市,上海市
0.0,钟楼区,常州市,江苏省,静安区,上海市,上海市
0.0,新北区,常州市,江苏省,静安区,上海市,上海市
0.0,武进区,常州市,江苏省,静安区,上海市,上海市
0.0,金坛区,常州市,江苏省,静安区,上海市,上海市
0.0,溧阳市,常州市,江苏省,静安区,上海市,上海市
0.007918092308116052,虎丘区,苏州市,江苏省,静安区,上海市,上海市
0.0,吴中区,苏州市,江苏省,静安区,上海市,上海市
0.007650598467846175,相城区,苏州市,江苏省,静安区,上海市,上海市
0.02874680808830035,姑苏区,苏州市,江苏省,静安区,上海市,上海市
0.01466653017220844,吴江区,苏州市,江苏省,静安区,上海市,上海市
0.01927765637445501,常熟市,苏州市,江苏省,静安区,上海市,上海市
0.010066243289291234,张家港市,苏州市,江苏省,静安区,上海市,上海市
0.13534401525837178,昆山市,苏州市,江苏省,静安区,上海市,上海市
0.0912774897461435,太仓市,苏州市,江苏省,静安区,上海市,上海市
0.01430400059416748,崇川区,南通市,江苏省,静安区,上海市,上海市
0.0,港闸区,南通市,江苏省,静安区,上海市,上海市
0.0,通州区,南通市,江苏省,静安区,上海市,上海市
0.009864526169228829,如东县,南通市,江苏省,静安区,上海市,上海市
0.09790774706529864,启东市,南通市,江苏省,静安区,上海市,上海市
0.01027889248171365,如皋市,南通市,江苏省,静安区,上海市,上海市
0.014998362251883585,海门市,南通市,江苏省,静安区,上海市,上海市
0.013218836535818157,海安市,南通市,江苏省,静安区,上海市,上海市
0.0,广陵区,扬州市,江苏省,静安区,上海市,上海市
0.0,邗江区,扬州市,江苏省,静安区,上海市,上海市
0.0,江都区,扬州市,江苏省,静安区,上海市,上海市
0.0076235297284350965,宝应县,扬州市,江苏省,静安区,上海市,上海市
0.0,仪征市,扬州市,江苏省,静安区,上海市,上海市
0.0,高邮市,扬州市,江苏省,静安区,上海市,上海市
0.0,京口区,镇江市,江苏省,静安区,上海市,上海市
0.010949996965257634,润州区,镇江市,江苏省,静安区,上海市,上海市
0.0,丹徒区,镇江市,江苏省,静安区,上海市,上海市
0.008230352332644377,丹阳市,镇江市,江苏省,静安区,上海市,上海市
0.0,扬中市,镇江市,江苏省,静安区,上海市,上海市
0.009087542322010393,句容市,镇江市,江苏省,静安区,上海市,上海市
0.0,海陵区,泰州市,江苏省,静安区,上海市,上海市
0.0,高港区,泰州市,江苏省,静安区,上海市,上海市
0.0,姜堰区,泰州市,江苏省,静安区,上海市,上海市
0.0,兴化市,泰州市,江苏省,静安区,上海市,上海市
0.009041525293862781,靖江市,泰州市,江苏省,静安区,上海市,上海市
